Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,75.910004,77.00,74.910004,76.949997,932600,76.949997
2015-08-06,78.279999,78.279999,75.419998,75.989998,1678300,75.989998
2015-08-05,78.220001,79.889999,78.019997,78.410004,1172000,78.410004
2015-08-04,79.279999,79.480003,77.199997,77.910004,1973200,77.910004
2015-08-03,80.50,80.959999,78.559998,79.150002,1192500,79.150002
2015-07-31,80.239998,81.129997,79.379997,80.50,1827600,80.50
2015-07-30,78.480003,81.209999,76.599998,81.029999,3264700,81.029999
2015-07-29,76.900002,78.50,74.949997,77.980003,3943100,77.980003
2015-07-28,76.769997,78.879997,76.080002,78.629997,1055300,78.629997
2015-07-27,78.849998,78.889999,76.120003,76.339996,1579400,76.339996
2015-07-24,78.470001,80.970001,77.510002,79.639999,1436800,79.639999
2015-07-23,78.32,79.25,77.470001,78.019997,920500,78.019997
2015-07-22,78.110001,78.940002,77.769997,77.849998,622700,77.849998
2015-07-21,78.809998,79.68,77.970001,78.57,574700,78.57
2015-07-20,79.169998,79.330002,78.57,78.839996,453000,78.839996
2015-07-17,79.120003,80.230003,78.57,78.919998,809500,78.919998
2015-07-16,78.150002,79.150002,77.830002,78.919998,665900,78.919998
2015-07-15,77.599998,78.419998,76.959999,77.580002,911500,77.580002
2015-07-14,76.699997,78.849998,76.699997,77.410004,998300,77.410004
2015-07-13,77.339996,77.550003,75.809998,76.599998,999400,76.599998
2015-07-10,77.150002,77.580002,76.620003,76.739998,656500,76.739998
2015-07-09,75.610001,77.050003,75.610001,76.18,931100,76.18
2015-07-08,74.989998,76.040001,74.209999,74.830002,703200,74.830002
2015-07-07,73.870003,75.860001,72.080002,75.68,1380400,75.68
2015-07-06,73.400002,74.720001,73.07,73.699997,1079300,73.699997
2015-07-02,73.870003,74.599998,73.160004,74.529999,802000,74.529999
2015-07-01,75.419998,75.629997,73.470001,73.900002,1073000,73.900002
2015-06-30,74.300003,74.709999,73.599998,74.309998,1112600,74.309998
2015-06-29,75.809998,76.610001,73.459999,73.769997,1309300,73.769997
2015-06-26,79.269997,79.269997,75.309998,77.019997,2086600,77.019997
2015-06-25,77.82,79.32,77.75,78.919998,1071700,78.919998
2015-06-24,80.389999,80.639999,77.129997,77.470001,1692900,77.470001
2015-06-23,80.900002,80.900002,80.040001,80.75,674400,80.75
2015-06-22,81.00,81.669998,79.629997,80.32,928900,80.32
2015-06-19,81.32,81.32,80.010002,80.379997,1932000,80.379997
2015-06-18,80.190002,81.150002,79.199997,80.970001,1598100,80.970001
2015-06-17,79.510002,80.889999,79.370003,79.919998,1313600,79.919998
2015-06-16,77.57,79.43,77.349998,79.400002,941300,79.400002
2015-06-15,77.07,77.870003,76.459999,77.639999,673700,77.639999
2015-06-12,77.330002,78.279999,77.330002,77.940002,580600,77.940002
2015-06-11,78.00,78.68,77.110001,77.730003,822000,77.730003
2015-06-10,75.900002,77.82,75.239998,77.699997,1263500,77.699997
2015-06-09,75.110001,76.18,73.660004,75.660004,1289000,75.660004
2015-06-08,76.779999,77.110001,74.669998,74.669998,1154900,74.669998
2015-06-05,74.910004,77.160004,74.910004,76.889999,1139700,76.889999
2015-06-04,76.199997,77.110001,74.949997,75.459999,953900,75.459999
2015-06-03,75.389999,76.809998,75.230003,76.610001,898300,76.610001
2015-06-02,75.599998,75.910004,75.040001,75.379997,1134600,75.379997
2015-06-01,76.639999,76.900002,75.019997,75.68,1360200,75.68
2015-05-29,77.970001,78.050003,76.019997,76.610001,2922600,76.610001
2015-05-28,78.00,79.129997,77.620003,78.400002,1364900,78.400002
2015-05-27,77.25,78.650002,75.660004,78.389999,1488100,78.389999
2015-05-26,78.339996,78.690002,76.949997,77.709999,1019900,77.709999
2015-05-22,78.580002,79.00,77.599998,78.760002,1214400,78.760002
2015-05-21,77.739998,78.959999,77.550003,78.870003,1154000,78.870003
2015-05-20,77.720001,77.910004,76.260002,77.449997,1826600,77.449997
